timestamp_ns,time_s,center_row_px,center_col_px,tracked
1788946142604887502,21.108162037,544.0,424.5,1
1788946142637068010,21.140342545000003,544.5,424.5,1
1788946142668964700,21.172239235000003,545.0,424.5,1
1788946142705015851,21.208290386,548.5,425.0,1
1788946142737287479,21.240562014,548.5,425.0,1
1788946142769107480,21.272382015,548.5,425.5,1
1788946142804926670,21.308201205,548.0,425.5,1
1788946142837080821,21.340355356,543.0,425.0,1
1788946142868957502,21.372232037,542.5,425.0,1
1788946142904738701,21.408013236000002,533.0,422.5,1
1788946142937035720,21.440310255,533.0,422.5,1
1788946142968820701,21.472095236,533.5,422.5,1
1788946143004854893,21.508129428,528.0,423.0,1
1788946143037141728,21.540416263,530.5,423.0,1
1788946143069011581,21.572286116,529.0,422.5,1
1788946143104938641,21.608213176,526.5,422.5,1
1788946143137015187,21.640289722000002,528.0,423.0,1
1788946143169056422,21.672330957,528.0,423.0,1
1788946143204745791,21.708020326,537.0,424.5,1
1788946143236841841,21.740116376000003,537.0,424.5,1
1788946143268908452,21.772182987,537.0,424.5,1
1788946143304808579,21.808083114000002,543.5,425.5,1
1788946143336879244,21.840153779,543.5,425.0,1
1788946143368942107,21.872216642,548.5,425.5,1
1788946143404854978,21.908129513000002,549.0,425.5,1
1788946143437147291,21.940421826,549.0,426.0,1
1788946143468753278,21.972027813,549.0,426.0,1
1788946143504801015,22.00807555,544.0,424.0,1
1788946143536897620,22.040172155,544.0,424.0,1
1788946143568754575,22.072029110000003,539.0,424.0,1
1788946143604820132,22.108094667000003,534.0,422.0,1
1788946143636803197,22.140077732,533.5,422.0,1
1788946143668781102,22.172055637,531.5,421.5,1
1788946143704716824,22.207991359,531.5,421.5,1
1788946143736938067,22.240212602,529.5,421.0,1
1788946143768794060,22.272068595,526.5,421.0,1
1788946143804847015,22.308121550000003,531.0,421.5,1
1788946143836876403,22.340150938,530.5,421.5,1
1788946143868758014,22.372032549,533.0,423.5,1
1788946143904787629,22.408062164,538.5,423.5,1
1788946143936729225,22.44000376,539.0,423.5,1
1788946143968651718,22.471926253000003,544.5,425.0,1
1788946144004665734,22.507940269000002,545.5,425.0,1
1788946144036813183,22.540087718000002,549.5,425.5,1
1788946144068742738,22.572017273,549.5,425.5,1
1788946144104574456,22.607848991,548.0,426.0,1
1788946144136702144,22.639976679,548.0,426.0,1
1788946144168659221,22.671933756,544.5,424.0,1
1788946144204739373,22.708013908,541.5,424.0,1
1788946144236854550,22.740129085000003,541.5,424.5,1
1788946144268807874,22.772082409000003,533.0,422.0,1
1788946144304875959,22.808150494000003,533.0,422.0,1
1788946144336937708,22.840212243,530.5,421.5,1
1788946144368862297,22.872136832000002,530.5,421.5,1
1788946144405363184,22.908637719,530.0,421.0,1
1788946144439306893,22.942581428,527.0,421.0,1
1788946144469028626,22.972303161000003,528.0,421.5,1
1788946144504931862,23.008206397000002,531.0,422.0,1
1788946144537125565,23.040400100000003,531.0,422.0,1
1788946144568985383,23.072259918,540.5,425.0,1
1788946144605051108,23.108325643,540.5,425.0,1
1788946144637232566,23.140507101,545.5,425.0,1
1788946144669081022,23.172355557000003,545.5,425.0,1
1788946144704916014,23.208190549,549.0,425.0,1
1788946144737065103,23.240339638000002,549.0,425.5,1
1788946144768873995,23.272148530000003,549.0,425.5,1
1788946144804858474,23.308133009000002,548.5,425.5,1
1788946144837128080,23.340402615000002,548.5,425.5,1
1788946144869004220,23.372278755,542.0,424.0,1
1788946144904852576,23.408127111000002,541.5,424.0,1
1788946144936959026,23.440233561000003,531.5,421.0,1
1788946144968851811,23.472126346000003,531.5,421.0,1
1788946145004952018,23.508226553,530.5,421.5,1
1788946145037099931,23.540374466000003,530.5,421.5,1
1788946145069194721,23.572469256,527.0,420.5,1
1788946145104946422,23.608220957,527.0,420.5,1
1788946145137059170,23.640333705,526.5,420.5,1
1788946145169131820,23.672406355000003,532.0,422.0,1
1788946145204897929,23.708172464,532.5,422.0,1
1788946145236915269,23.740189804,542.0,424.5,1
1788946145269122686,23.772397221000002,542.0,424.5,1
1788946145304858946,23.808133481000002,545.5,424.5,1
1788946145337074068,23.840348603000002,545.5,424.5,1
1788946145369105141,23.872379676,549.0,425.5,1
1788946145404703035,23.90797757,549.0,425.5,1
